category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX006018,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx006018-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 3.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 3/16; Use Length 4; Total Length 6,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-008-101,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-008-101-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 5/32 X 6; Bulk Pack: 12,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-012-104,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-012-104-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 3/16 X 4-1/2; Bulk Pack: 12,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-016-215,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-016-215-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 3/16 X 6-1/4; Bulk Pack: 12,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-048-105,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-048-105-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 1/4 X 4-1/2; Bulk Pack: 12,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-052-106,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-052-106-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 1/4 X 6-1/4; Bulk Pack: 12,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-056-218,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-056-218-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 1/4 X 8-1/2; Bulk Pack: 12,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-062-107,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-062-107-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 5/16 X 6-1/4; Bulk Pack: 6,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-080-109,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-080-109-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 3/8 X 6-1/4; Bulk Pack: 6,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-124-114,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-124-114-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 1/2 X 6-1/2; Bulk Pack: 6,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-128-115,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-128-115-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 1/2 X 10; Bulk Pack: 6,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-156-119,Concrete Bits - Hitpack SDS-Plus,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-156-119-concrete-bits-hitpack-sds-plus- 4.jpg,Driltec,Bulk Pack Not Individually Packaged,The most commonly used SDS-Plus drill bits conveniently  bulk-packed. For the Pro that has to drill many holes of  one size. Hit-Packs offer easy handling of drill bits without  all the packaging. Hit-Packs can be closed for secure  storage.,,,Description Diam. X Length: 5/8 X 6-1/2; Bulk Pack: 3,Concrete Bits - Hitpack SDS-Plus
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-005-3-16 X 4-1-2,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-005-3-16-x-4-1-2-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 3/16 X 4-1/2; Details: 5 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-005-3-16 X 6-1-4,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-005-3-16-x-6-1-4-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 3/16 X 6-1/4; Details: 5 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-005-1-4 X 4-1-2,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-005-1-4-x-4-1-2-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 1/4 X 4-1/2; Details: 5 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-005-1-4 X 6-1-4,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-005-1-4-x-6-1-4-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 1/4 X 6-1/4; Details: 5 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-005-5-16 X 6-1-4,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-005-5-16-x-6-1-4-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 5/16 X 6-1/4; Details: 5 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-005-3-8 X 6-1-4,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-005-3-8-x-6-1-4-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 3/8 X 6-1/4; Details: 5 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-005-1-2 X 6-1-2,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-005-1-2-x-6-1-2-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 1/2 X 6-1/2; Details: 5 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-007-3-16 X 4-1-2,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-007-3-16-x-4-1-2-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 3/16 X 4-1/2; Details: 7 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-007-3-16 X 6-1-4,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-007-3-16-x-6-1-4-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 3/16 X 6-1/4; Details: 7 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-007-1-4 X 4-1-2,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-007-1-4-x-4-1-2-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 1/4 X 4-1/2; Details: 7 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-007-1-4 X 6-1-4,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-007-1-4-x-6-1-4-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 1/4 X 6-1/4; Details: 7 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-007-5-16 X 6-1-4,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-007-5-16-x-6-1-4-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 5/16 X 6-1/4; Details: 7 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-007-3-8 X 6-1-4,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-007-3-8-x-6-1-4-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 3/8 X 6-1/4; Details: 7 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,AD-901-007-1-2 X 6-1-2,Concrete Bits - SDS-Plus Multi-Packs,,E:\IMAGES\ITEMS\product\A\D\driltec-ad-901-007-1-2-x-6-1-2-concrete-bits-sds-plus-multi-packs- 4.jpg,Driltec,,Most popular SDS-Plus  drill bits in a convenient  pack. Attractively priced.,,,Description Diam. X Length: 1/2 X 6-1/2; Details: 7 Pc.,Concrete Bits - SDS-Plus Multi-Packs
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,MD-005-160,Concrete Bits - SDS-Plus Metric,,E:\IMAGES\ITEMS\product\M\D\driltec-md-005-160-concrete-bits-sds-plus-metric- 4.jpg,Driltec,,"In today’s changing world many metric anchors have  entered the marketplace. To provide the proper metric  anchor hole requirement according to ISO standards,  DRILTEC offers a new range of metric SDS-Plus drill bits  to meet these needs.",,,Diam.: 5 Mm; Useable Length: 100; Total Length: 160,Concrete Bits - SDS-Plus Metric
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,MD-006-160,Concrete Bits - SDS-Plus Metric,,E:\IMAGES\ITEMS\product\M\D\driltec-md-006-160-concrete-bits-sds-plus-metric- 4.jpg,Driltec,,"In today’s changing world many metric anchors have  entered the marketplace. To provide the proper metric  anchor hole requirement according to ISO standards,  DRILTEC offers a new range of metric SDS-Plus drill bits  to meet these needs.",,,Diam.: 6 Mm; Useable Length: 100; Total Length: 160,Concrete Bits - SDS-Plus Metric
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,MD-008-160,Concrete Bits - SDS-Plus Metric,,E:\IMAGES\ITEMS\product\M\D\driltec-md-008-160-concrete-bits-sds-plus-metric- 4.jpg,Driltec,,"In today’s changing world many metric anchors have  entered the marketplace. To provide the proper metric  anchor hole requirement according to ISO standards,  DRILTEC offers a new range of metric SDS-Plus drill bits  to meet these needs.",,,Diam.: 8 Mm; Useable Length: 100; Total Length: 160,Concrete Bits - SDS-Plus Metric
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,MD-010-160,Concrete Bits - SDS-Plus Metric,,E:\IMAGES\ITEMS\product\M\D\driltec-md-010-160-concrete-bits-sds-plus-metric- 4.jpg,Driltec,,"In today’s changing world many metric anchors have  entered the marketplace. To provide the proper metric  anchor hole requirement according to ISO standards,  DRILTEC offers a new range of metric SDS-Plus drill bits  to meet these needs.",,,Diam.: 10 Mm; Useable Length: 100; Total Length: 160,Concrete Bits - SDS-Plus Metric
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,MD-010-210,Concrete Bits - SDS-Plus Metric,,E:\IMAGES\ITEMS\product\M\D\driltec-md-010-210-concrete-bits-sds-plus-metric- 4.jpg,Driltec,,"In today’s changing world many metric anchors have  entered the marketplace. To provide the proper metric  anchor hole requirement according to ISO standards,  DRILTEC offers a new range of metric SDS-Plus drill bits  to meet these needs.",,,Diam.: 10 Mm; Useable Length: 150; Total Length: 210,Concrete Bits - SDS-Plus Metric
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,MD-012-160,Concrete Bits - SDS-Plus Metric,,E:\IMAGES\ITEMS\product\M\D\driltec-md-012-160-concrete-bits-sds-plus-metric- 4.jpg,Driltec,,"In today’s changing world many metric anchors have  entered the marketplace. To provide the proper metric  anchor hole requirement according to ISO standards,  DRILTEC offers a new range of metric SDS-Plus drill bits  to meet these needs.",,,Diam.: 12Mm; Useable Length: 100; Total Length: 160,Concrete Bits - SDS-Plus Metric
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,MD-012-200,Concrete Bits - SDS-Plus Metric,,E:\IMAGES\ITEMS\product\M\D\driltec-md-012-200-concrete-bits-sds-plus-metric- 4.jpg,Driltec,,"In today’s changing world many metric anchors have  entered the marketplace. To provide the proper metric  anchor hole requirement according to ISO standards,  DRILTEC offers a new range of metric SDS-Plus drill bits  to meet these needs.",,,Diam.: 12Mm; Useable Length: 150; Total Length: 200,Concrete Bits - SDS-Plus Metric
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,MD-014-200,Concrete Bits - SDS-Plus Metric,,E:\IMAGES\ITEMS\product\M\D\driltec-md-014-200-concrete-bits-sds-plus-metric- 4.jpg,Driltec,,"In today’s changing world many metric anchors have  entered the marketplace. To provide the proper metric  anchor hole requirement according to ISO standards,  DRILTEC offers a new range of metric SDS-Plus drill bits  to meet these needs.",,,Diam.: 14Mm; Useable Length: 150; Total Length: 200,Concrete Bits - SDS-Plus Metric
