category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61007,"9"" - 5/8-11 Thread - 6,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,"9"" - 5/8-11 Thread - 6,600 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"9"" - 5/8-11 Thread - 6,600 Max RPM","9"" - 5/8-11 Thread - 6,600 Max RPM"
117|19454,Grinders | Polishers|Depressed Center Grinding Wheels,61018,SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron,,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,,"Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"2-3/4"" x 1/4"" - 3/8 A.H. - 21,800 Max RPM",SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61020,"3"" x 1/4"" - 3/8 A.H. - 20,900 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"3"" x 1/4"" - 3/8 A.H. - 20,900 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"3"" x 1/4"" - 3/8 A.H. - 20,900 Max RPM","3"" x 1/4"" - 3/8 A.H. - 20,900 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61022,"4"" x 1/4"" - 3/8 A.H. - 15,300 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"4"" x 1/4"" - 3/8 A.H. - 15,300 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"4"" x 1/4"" - 3/8 A.H. - 15,300 Max RPM","4"" x 1/4"" - 3/8 A.H. - 15,300 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61024,"4"" x 1/4"" - 5/8 A.H. - 15,300 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"4"" x 1/4"" - 5/8 A.H. - 15,300 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"4"" x 1/4"" - 5/8 A.H. - 15,300 Max RPM","4"" x 1/4"" - 5/8 A.H. - 15,300 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61025,"4-1/2"" x 1/8"" - 7/8 A.H. - 13,300 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"4-1/2"" x 1/8"" - 7/8 A.H. - 13,300 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"4-1/2"" x 1/8"" - 7/8 A.H. - 13,300 Max RPM","4-1/2"" x 1/8"" - 7/8 A.H. - 13,300 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61037,"4-1/2"" x 1/8"" - 5/8-11 Thread - 13,300 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"4-1/2"" x 1/8"" - 5/8-11 Thread - 13,300 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"4-1/2"" x 1/8"" - 5/8-11 Thread - 13,300 Max RPM","4-1/2"" x 1/8"" - 5/8-11 Thread - 13,300 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61026,"4-1/2"" x 1/4"" - 7/8 A.H. - 13,300 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"4-1/2"" x 1/4"" - 7/8 A.H. - 13,300 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"4-1/2"" x 1/4"" - 7/8 A.H. - 13,300 Max RPM","4-1/2"" x 1/4"" - 7/8 A.H. - 13,300 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61038,"4-1/2"" x 1/4"" - 5/8-11 Thread - 13,300 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"4-1/2"" x 1/4"" - 5/8-11 Thread - 13,300 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"4-1/2"" x 1/4"" - 5/8-11 Thread - 13,300 Max RPM","4-1/2"" x 1/4"" - 5/8-11 Thread - 13,300 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61028,"5"" x 1/4"" - 7/8 A.H. - 12,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"5"" x 1/4"" - 7/8 A.H. - 12,200 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"5"" x 1/4"" - 7/8 A.H. - 12,200 Max RPM","5"" x 1/4"" - 7/8 A.H. - 12,200 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61040,"5"" x 1/4"" - 5/8-11 Thread - 12,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"5"" x 1/4"" - 5/8-11 Thread - 12,200 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"5"" x 1/4"" - 5/8-11 Thread - 12,200 Max RPM","5"" x 1/4"" - 5/8-11 Thread - 12,200 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61030,"6"" x 1/4"" - 7/8 A.H. - 10,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"6"" x 1/4"" - 7/8 A.H. - 10,200 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"6"" x 1/4"" - 7/8 A.H. - 10,200 Max RPM","6"" x 1/4"" - 7/8 A.H. - 10,200 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61042,"6"" x 1/4"" - 5/8-11 Thread - 10,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"6"" x 1/4"" - 5/8-11 Thread - 10,200 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"6"" x 1/4"" - 5/8-11 Thread - 10,200 Max RPM","6"" x 1/4"" - 5/8-11 Thread - 10,200 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61032,"7"" x 1/4"" - 7/8 A.H. - 8,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"7"" x 1/4"" - 7/8 A.H. - 8,600 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"7"" x 1/4"" - 7/8 A.H. - 8,600 Max RPM","7"" x 1/4"" - 7/8 A.H. - 8,600 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61044,"7"" x 1/4"" - 5/8-11 Thread - 8,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"7"" x 1/4"" - 5/8-11 Thread - 8,600 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"7"" x 1/4"" - 5/8-11 Thread - 8,600 Max RPM","7"" x 1/4"" - 5/8-11 Thread - 8,600 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61033,"7"" x 5/16"" - 7/8 A.H. - 8,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"7"" x 5/16"" - 7/8 A.H. - 8,600 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"7"" x 5/16"" - 7/8 A.H. - 8,600 Max RPM","7"" x 5/16"" - 7/8 A.H. - 8,600 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61045,"7"" x 5/16"" - 5/8-11 Thread - 8,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"7"" x 5/16"" - 5/8-11 Thread - 8,600 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"7"" x 5/16"" - 5/8-11 Thread - 8,600 Max RPM","7"" x 5/16"" - 5/8-11 Thread - 8,600 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61035,"9"" x 1/4"" - 7/8 A.H. 6,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"9"" x 1/4"" - 7/8 A.H. 6,600 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"9"" x 1/4"" - 7/8 A.H. 6,600 Max RPM","9"" x 1/4"" - 7/8 A.H. 6,600 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61047,"9"" x 1/4"" - 5/8-11 Thread - 6,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"9"" x 1/4"" - 5/8-11 Thread - 6,600 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"9"" x 1/4"" - 5/8-11 Thread - 6,600 Max RPM","9"" x 1/4"" - 5/8-11 Thread - 6,600 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61036,"9"" x 5/16"" - 7/8 A.H. - 6,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"9"" x 5/16"" - 7/8 A.H. - 6,600 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"9"" x 5/16"" - 7/8 A.H. - 6,600 Max RPM","9"" x 5/16"" - 7/8 A.H. - 6,600 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61048,"9"" x 5/16"" - 5/8-11 Thread 6,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd,"9"" x 5/16"" - 5/8-11 Thread 6,600 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc). Abrasive: Aluminum Oxide Application: Weld grinding, edge grinding Recommended for Use: Achieves optimum grinding results on high-powered angle grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"9"" x 5/16"" - 5/8-11 Thread 6,600 Max RPM","9"" x 5/16"" - 5/8-11 Thread 6,600 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61602,SG-Elastic: ZA 30 S SG Type 27 Grinding Wheel for Steel and Cast Iron,,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-ZA-30-S-SG-Type-27-Grinding-Wheel-for.jpg,Pferd,,"Performance grinding wheel with tough Zirconia abrasive grain providing outstanding stock removal and very long tool life. Abrasive: Zirconia Alumina Workpiece Materials: Steel, cast iron (grey and nodular types) Application: Weld grinding, edge grinding Recommendation for Use: Provides optimum grinding results on high power pneumatic or electric angle grinders and high-frequency grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"4-1/2"" x 1/4"" - 7/8 A.H. - 13,300 Max RPM",SG-Elastic: ZA 30 S SG Type 27 Grinding Wheel for Steel and Cast Iron
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61603,"4-1/2"" x 1/4"" - 5/8-11 Thread - 13,300 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-ZA-30-S-SG-Type-27-Grinding-Wheel-for.jpg,Pferd,"4-1/2"" x 1/4"" - 5/8-11 Thread - 13,300 Max RPM","Performance grinding wheel with tough Zirconia abrasive grain providing outstanding stock removal and very long tool life. Abrasive: Zirconia Alumina Workpiece Materials: Steel, cast iron (grey and nodular types) Application: Weld grinding, edge grinding Recommendation for Use: Provides optimum grinding results on high power pneumatic or electric angle grinders and high-frequency grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"4-1/2"" x 1/4"" - 5/8-11 Thread - 13,300 Max RPM","4-1/2"" x 1/4"" - 5/8-11 Thread - 13,300 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61604,"5"" x 1/4"" - 7/8 A.H. - 12,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-ZA-30-S-SG-Type-27-Grinding-Wheel-for.jpg,Pferd,"5"" x 1/4"" - 7/8 A.H. - 12,200 Max RPM","Performance grinding wheel with tough Zirconia abrasive grain providing outstanding stock removal and very long tool life. Abrasive: Zirconia Alumina Workpiece Materials: Steel, cast iron (grey and nodular types) Application: Weld grinding, edge grinding Recommendation for Use: Provides optimum grinding results on high power pneumatic or electric angle grinders and high-frequency grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"5"" x 1/4"" - 7/8 A.H. - 12,200 Max RPM","5"" x 1/4"" - 7/8 A.H. - 12,200 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61614,"5"" x 1/4"" - 5/8-11 Thread - 12,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-ZA-30-S-SG-Type-27-Grinding-Wheel-for.jpg,Pferd,"5"" x 1/4"" - 5/8-11 Thread - 12,200 Max RPM","Performance grinding wheel with tough Zirconia abrasive grain providing outstanding stock removal and very long tool life. Abrasive: Zirconia Alumina Workpiece Materials: Steel, cast iron (grey and nodular types) Application: Weld grinding, edge grinding Recommendation for Use: Provides optimum grinding results on high power pneumatic or electric angle grinders and high-frequency grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"5"" x 1/4"" - 5/8-11 Thread - 12,200 Max RPM","5"" x 1/4"" - 5/8-11 Thread - 12,200 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61613,"6"" x 1/4"" - 7/8 A.H. - 10,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-SG-Elastic-ZA-30-S-SG-Type-27-Grinding-Wheel-for.jpg,Pferd,"6"" x 1/4"" - 7/8 A.H. - 10,200 Max RPM","Performance grinding wheel with tough Zirconia abrasive grain providing outstanding stock removal and very long tool life. Abrasive: Zirconia Alumina Workpiece Materials: Steel, cast iron (grey and nodular types) Application: Weld grinding, edge grinding Recommendation for Use: Provides optimum grinding results on high power pneumatic or electric angle grinders and high-frequency grinders. 5/16"" thick discs provide additional strength and service life for heavy-duty applications.",,,"6"" x 1/4"" - 7/8 A.H. - 10,200 Max RPM","6"" x 1/4"" - 7/8 A.H. - 10,200 Max RPM"
