48WS.com URL,Category,SKU #,Product Name,Image,Manufacturer_URL,Weight,Manufacturer,Description,Quick Overview,Details,Group Name,Info/Size/Color,UPC
,,FLQ-002,FLQ-002,,,,Allfuses.com,"FLQ 2 Amp, 500V, Midget Fuse",,,,,
,,FLQ-003,FLQ-003,,,,Allfuses.com,"FLQ 3 Amp, 500V, Midget Fuse",,,,,
,,FLSR-100ID,FLSR-100,,,,Allfuses.com,"FLSR 100 Amp, 600V, Class RK5",,,,,
,,FLSR-005ID,FLSR-005,,,,Allfuses.com,"FLSR 5 Amp, 600V, Class RK5",,,,,
,,FLSR-050ID,FLSR-050,,,,Allfuses.com,"FLSR 50 Amp, 600V, Class RK5",,,,,
,,FNA-1/2,FNA-1/2,,,,Allfuses.com,"FNA 1/2 Amp, 250V, Specialty Fuse",,,,,
,,FNA-1,FNA-1,,,,Allfuses.com,"FNA 1 Amp, 125V, Specialty Fuse",,,,,
,,FNA-3,FNA-3,,,,Allfuses.com,"FNA 3 Amp, 125V, Specialty Fuse",,,,,
,,FNM-2,FNM-2,,,,Allfuses.com,"FNM 2 Amp, 250V, Midget Fuse",,,,,
,,FNM-5,FNM-5,,,,Allfuses.com,"FNM 5 Amp, 250V, Midget Fuse",,,,,
,,FNQ-1/4,FNQ-1/4,,,,Allfuses.com,"FNQ 1/4 Amp, 500V, Midget Fuse",,,,,
,,FNQ-8/10,FNQ-8/10,,,,Allfuses.com,"FNQ 8/10 Amp, 500V, Midget Fuse",,,,,
,,FNQ-10,FNQ-10,,,,Allfuses.com,"FNQ 10 Amp, 500V, Midget Fuse",,,,,
,,FNQ-15,FNQ-15,,,,Allfuses.com,"FNQ 15 Amp, 500V, Midget Fuse",,,,,
,,FNQ-2,FNQ-2,,,,Allfuses.com,"FNQ 2 Amp, 500V, Midget Fuse",,,,,
,,FNQ-25,FNQ-25,,,,Allfuses.com,"FNQ 25 Amp, 500V, Midget Fuse",,,,,
,,FNQ-3,FNQ-3,,,,Allfuses.com,"FNQ 3 Amp, 500V, Midget Fuse",,,,,
,,FNQ-4,FNQ-4,,,,Allfuses.com,"FNQ 4 Amp, 500V, Midget Fuse",,,,,
,,FNQ-5,FNQ-5,,,,Allfuses.com,"FNQ 5 Amp, 500V, Midget Fuse",,,,,
,,FNQ-6,FNQ-6,,,,Allfuses.com,"FNQ 6 Amp, 500V, Midget Fuse",,,,,
,,FNQ-R-1/4,FNQ-R-1/4,,,,Allfuses.com,"FNQ-R 1/4 Amp, 600V, Class CC",,,,,
,,FRN-R-100,FRN-R-100,,,,Allfuses.com,"FRN-R 100 Amp, 250V, Class RK5",,,,,
,,FRN-R-10,FRN-R-10,,,,Allfuses.com,"FRN-R 10 Amp, 250V, Class RK5",,,,,
,,FRN-R-125,FRN-R-125,,,,Allfuses.com,"FRN-R 125 Amp, 250V, Class RK5",,,,,
,,FRN-R-15,FRN-R-15,,,,Allfuses.com,"FRN-R 15 Amp, 250V, Class RK5",,,,,
,,FRN-R-2,FRN-R-2,,,,Allfuses.com,"FRN-R 2 Amp, 250V, Class RK5",,,,,
,,FRN-R-200,FRN-R-200,,,,Allfuses.com,"FRN-R 200 Amp, 250V, Class RK5",,,,,
,,FRN-R-3,FRN-R-3,,,,Allfuses.com,"FRN-R 3 Amp, 250V, Class RK5",,,,,
,,FRN-R-3-1/2,FRN-R-3-1/2,,,,Allfuses.com,"FRN-R 3 1/2 Amp, 250V, Class RK5",,,,,
,,FRN-R-30,FRN-R-30,,,,Allfuses.com,"FRN-R 30 Amp, 250V, Class RK5",,,,,
,,FRN-R-40,FRN-R-40,,,,Allfuses.com,"FRN-R 40 Amp, 250V, Class RK5,",,,,,
,,FRN-R-5,FRN-R-5,,,,Allfuses.com,"FRN-R 5 Amp, 250V, Class RK5",,,,,
,,FRN-R-50,FRN-R-50,,,,Allfuses.com,"FRN-R 50 Amp, 250V, Class RK5",,,,,
,,FRN-R-6,FRN-R-6,,,,Allfuses.com,"FRN-R 6 Amp, 250V, Class RK5",,,,,
,,FRN-R-60,FRN-R-60,,,,Allfuses.com,"FRN-R 60 Amp, 250V, Class RK5",,,,,
,,FRN-R-8v,FRN-R-8,,,,Allfuses.com,"FRN-R 8 Amp, 250V, Class RK5v",,,,,
,,FRS-R-10,FRS-R-10,,,,Allfuses.com,"FRS-R 10 Amp, 600V, Class RK5",,,,,
,,FRS-R-100,FRS-R-100,,,,Allfuses.com,"FRS-R 100 Amp, 600V, Class RK5",,,,,
,,FRS-R-125,FRS-R-125,,,,Allfuses.com,"FRS-R 125 Amp, 600V, Class RK5",,,,,
,,FRS-R-150,FRS-R-150,,,,Allfuses.com,"FRS-R 150 Amp, 600V, Class RK5",,,,,
,,FRS-R-2-1/2,FRS-R-2-1/2,,,,Allfuses.com,"FRS-R 2 1/2 Amp, 600V, Class RK5",,,,,
,,FRS-R-20,FRS-R-20,,,,Allfuses.com,"FRS-R 20 Amp, 600V, Class RK5",,,,,
,,FRS-R-30,FRS-R-30,,,,Allfuses.com,"FRS-R 30 Amp, 600V, Class RK5",,,,,
,,FRS-R-35,FRS-R-35,,,,Allfuses.com,"FRS-R 35 Amp, 600V, Class RK5",,,,,
,,FRS-R-40,FRS-R-40,,,,Allfuses.com,"FRS-R 40 Amp, 600V, Class RK5",,,,,
,,FRS-R-5,FRS-R-5,,,,Allfuses.com,"FRS-R 5 Amp, 600V, Class RK5",,,,,
,,FRS-R-50,FRS-R-50,,,,Allfuses.com,"FRS-R 50 Amp, 600V, Class RK5",,,,,
,,FRS-R-60,FRS-R-60,,,,Allfuses.com,"FRS-R 60 Amp, 600V, Class RK5",,,,,
,,FRS-R-80,FRS-R-80,,,,Allfuses.com,"FRS-R 80 Amp, 600V, Class RK5",,,,,
,,FWP-125A,FWP-125A,,,,Allfuses.com,"FWP 125 Amp, 700V",,,,,
,,FWP-100,FWP-100,,,,Allfuses.com,"FWP 100 Amp, 700V, Semiconductor",,,,,
,,FWP-25A22F,FWP-25A22F,,,,Allfuses.com,"FWP 25 Amp, 700V, Semiconductor",,,,,
,,GAB5,GAB5,,,,Allfuses.com,"GAB 5 Amp, 250V, Ceramic Fuse",,,,,
,,GFN12,GFN12,,,,Allfuses.com,"GFN 12 Amp, 250V, Midget Fuse",,,,,
,,GFN2,GFN2,,,,Allfuses.com,"GFN 2 Amp, 250V, Midget Fuse",,,,,
,,GGC1/2,GGC1/2,,,,Allfuses.com,"GGC 1/2 Amp, 250V, Glass Fuse",,,,,
,,GLR10,GLR10,,,,Allfuses.com,"GLR 10 Amp, 300V, Specialty Fuse",,,,,
,,GLR-2,GLR-2,,,,Allfuses.com,"GLR 2 Amp, 300V, Specialty Fuse",,,,,
,,GMA-15-R,GMA-15-R,,,,Allfuses.com,"GMA 15 Amp, 125V, Glass Fuse",,,,,
,,GMC-500MA,GMC-500MA,,,,Allfuses.com,"GMC 500m Amp, 250V, Glass Fuse",,,,,
,,IDSR007,IDSR-7,,,,Allfuses.com,"IDSR 7 amp, 600v, RK5",,,,,
,,JTD-015,JTD-015,,,,Allfuses.com,"JTD 15 Amp, 600V, Class J",,,,,
,,JTD-30,JTD-030,,,,Allfuses.com,"JTD 30 Amp, 600V, Class J",,,,,
,,JTD-080,JTD-080,,,,Allfuses.com,"JTD 80 Amp, 600V, Class J",,,,,
,,JTD-090,JTD-090,,,,Allfuses.com,"JTD 90 Amp, 600V, Class J",,,,,
,,KAC-60,KAC-60,,,,Allfuses.com,"KAC 60 Amp, 600V, Semiconductor",,,,,
,,KLDR-004,KLDR-004,,,,Allfuses.com,"KLDR 4 Amp, 600V, Class CC",,,,,
,,GGC2,GGC2,,,,Allfuses.com,"GGC 2 Amp, 250V, Glass Fuse",,,,,
,,KLDR1-1/2,KLDR-01.5,,,,Allfuses.com,"KLDR 1 1/2 Amp, 600V, Class CC",,,,,
,,KTK-8,KTK-8,,,,Allfuses.com,"KTK 8 Amp, 600V, Midget Fuse",,,,,
,,KTK-R-1,KTK-R-1,,,,Allfuses.com,"KTK-R 1 Amp, 600V, Class CC",,,,,
,,KTK-R-2,KTK-R-2,,,,Allfuses.com,"KTK-R 2 Amp, 600V, Class CC",,,,,
,,KTK-R-3,KTK-R-3,,,,Allfuses.com,"KTK-R 3 Amp, 600V, Class CC",,,,,
,,KTK-R-4,KTK-R-4,,,,Allfuses.com,"KTK-R 4 Amp, 600V, Class CC",,,,,
,,KTK-R-6,KTK-R-6,,,,Allfuses.com,"KTK-R 6 Amp, 600V, Class CC",,,,,
,,LP-CC-12,LP-CC-12,,,,Allfuses.com,"LP-CC 12 Amp, 600V, Class CC",,,,,
,,LP-CC-2,LP-CC-2,,,,Allfuses.com,"LP-CC 2 Amp, 600V, Class CC",,,,,
,,LP-CC-4,LP-CC-4,,,,Allfuses.com,"LP-CC 4 Amp, 600V, Class CC",,,,,
,,LP-CC-5,LP-CC-5,,,,Allfuses.com,"LP-CC 5 Amp, 600V, Class CC",,,,,
,,LPJ-150SP,LPJ-150SP,,,,Allfuses.com,"LPJ 150 Amp, 600V, Class J",,,,,
,,LPJ-175SP,LPJ-175SP,,,,Allfuses.com,"LPJ 175 Amp, 600V, Class J",,,,,
,,LPJ-20SP,LPJ-20SP,,,,Allfuses.com,"LPJ 20 Amp, 600V, Class J",,,,,
,,LPJ-200SP,LPJ-200SP,,,,Allfuses.com,"LPJ 200 Amp, 600V, Class J",,,,,
,,LPJ-30SP,LPJ-30SP,,,,Allfuses.com,"LPJ 30 Amp, 600V, Class J",,,,,
,,LPJ-35SP,LPJ-35SP,,,,Allfuses.com,"LPJ 60 Amp, 600V, Class J",,,,,
,,LPJ-40SP,LPJ-40SP,,,,Allfuses.com,"LPJ 40 Amp, 600V, Class J",,,,,
,,LPJ-45SP,LPJ-45SP,,,,Allfuses.com,"LPJ 45 Amp, 600V, Class J",,,,,
,,LPJ-50SP,LPJ-50SP,,,,Allfuses.com,"LPJ 50 Amp, 600V, Class J",,,,,
,,LPJ-60SP,LPJ-60SP,,,,Allfuses.com,"LPJ 60 Amp, 600V, Class J",,,,,
,,LPJ-80SP,LPJ-80SP,,,,Allfuses.com,"LPJ 80 Amp, 600V, Class J",,,,,
,,LPS-RK-100SP,LPS-RK-100SP,,,,Allfuses.com,"LPS-RK 100 Amp, 600V, Class RK1",,,,,
,,LPS-RK-200SP,LPS-RK-200SP,,,,Allfuses.com,"LPS-RK 200 Amp, 600V, Class RK1",,,,,
,,MDA-4-R,MDA-4-R,,,,Allfuses.com,"MDA 4 Amp, 250V, Ceramic",,,,,
,,MDA-25-R,MDA-25-R,,,,Allfuses.com,"MDA 25 Amp, 250V, Ceramic",,,,,
,,MDA-3-R,MDA-3-R,,,,Allfuses.com,"MDA 3 Amp, 250V, Ceramic",,,,,
,,MDL-1-R,MDL-1-R,,,,Allfuses.com,"MDL 1 Amp, 250V, Glass Fuse",,,,,
,,MDL-10/MDL-10-R,MDL-10/MDL-10-R,,,,Allfuses.com,"MDL 10 Amp, 32V, Glass Fuse",,,,,
,,MDL-12-R,MDL-12-R,,,,Allfuses.com,"MDL 12 Amp, 32V, Glass Fuse",,,,,
,,MDL-2-R,MDL-2-R,,,,Allfuses.com,"MDL 2 Amp, 250V, Glass Fuse",,,,,
,,MDL-4-R,MDL-4-R,,,,Allfuses.com,"MDL 4 Amp, 250V, Glass Fuse",,,,,
,,MDL-5-R,MDL-5-R,,,,Allfuses.com,"MDL 5 Amp, 250V, Glass Fuse",,,,,
,,MDL-6-R,MDL-6-R,,,,Allfuses.com,"MDL 6 Amp, 250V, Glass Fuse",,,,,
,,MDL-8-R,MDL-8-R,,,,Allfuses.com,"MDL 8 Amp, 250V, Glass Fuse",,,,,
,,GDL2,GDL2,,,,Allfuses.com,"GDL 2 Amp, 250V, Glass Fuse",,,,,
,,OT30,OT30,,,,Allfuses.com,"OT 30 Amp, 250V, Class K5",,,,,
,,RFS60,RFS60/RLS60,,,,Allfuses.com,RFS 60 Amp 600V Class H,,,,,
,,TR100R,TR100R,,,,Allfuses.com,"TR 100 Amp, 250V, Class RK5",,,,,
,,TR10R,TR10R,,,,Allfuses.com,"TR 10 Amp, 250V, Class RK5",,,,,
,,TR125R,TR125R,,,,Allfuses.com,"TR 125 Amp, 250V, Class RK5",,,,,
,,TR12R,TR12R,,,,Allfuses.com,"TR 12 Amp, 250V, Class RK5",,,,,
,,TR17-1/2R,TR17-1/2R,,,,Allfuses.com,"TR 17 1/2 Amp, 250V, Class RK5",,,,,
,,TR1R,TR1R,,,,Allfuses.com,"TR 1 Amp, 250V, Class RK5",,,,,
,,TR200R,TR200R,,,,Allfuses.com,"TR 200 Amp, 250V, Class RK5",,,,,
,,TR20R,TR20R,,,,Allfuses.com,"TR 20 Amp, 250V, Class RK5",,,,,
,,TR35R,TR35R,,,,Allfuses.com,"TR 35 Amp, 250V, Class RK5",,,,,
,,TR60R,TR60R,,,,Allfuses.com,"TR 60 Amp, 250V, Class RK5",,,,,
,,TRM1-1/4,TRM1-1/4,,,,Allfuses.com,"TRM 1 1/4 Amp, 250V, Midget Fuse",,,,,
,,TRM2,TRM2,,,,Allfuses.com,"TRM 2 Amp, 250V, Midget Fuse",,,,,
,,TRM3,TRM3,,,,Allfuses.com,"TRM 3 Amp, 250V, Midget Fuse",,,,,
,,TRM4,TRM4,,,,Allfuses.com,"TRM 4 Amp, 250V, Midget Fuse",,,,,
,,TRS10R,TRS10R,,,,Allfuses.com,"TRS 10 Amp, 600V, Class RK5",,,,,
,,TRS125R,TRS125R,,,,Allfuses.com,"TRS 125 Amp, 600V, Class RK5",,,,,
,,TRS15R,TRS15R,,,,Allfuses.com,"TRS 15 Amp, 600V, Class RK5",,,,,
,,TRS175R,TRS175R,,,,Allfuses.com,"TRS 175 Amp, 600V, Class RK5",,,,,
,,TRS20R,TRS20R,,,,Allfuses.com,"TRS 20 Amp, 600V, Class RK5",,,,,
,,TRS25R,TRS25R,,,,Allfuses.com,"TRS 25 Amp, 600V, Class RK5",,,,,
,,TRS30R,TRS30R,,,,Allfuses.com,"TRS 30 Amp, 600V, Class RK5",,,,,
,,TRS35R,TRS35R,,,,Allfuses.com,"TRS 35 Amp, 600V, Class RK5",,,,,
,,TRS45R,TRS45R,,,,Allfuses.com,"TRS 45 Amp, 600V, Class RK5",,,,,
,,TRS60R,TRS60R,,,,Allfuses.com,"TRS 60 Amp, 600V, Class RK5",,,,,
,,TRS80R,TRS80R,,,,Allfuses.com,"TRS 175 Amp, 600V, Class RK5",,,,,
,,ATQR25,ATQR25,,,,Allfuses.com,"ATQR 25 Amp, 600V, Class CC",,,,,
,,KTK-20,KTK-20,,,,Allfuses.com,"KTK 20 Amp, 600V, Midget Fuse",,,,,
