,Category,SKU #,Product Name,Image,Manufacturer_URL,Description,Details,Info/Size/Color,Unnamed: 8
10,,018-5029,"7' Web 40"" Tie Back Retractable with Steel Carabiner",,https://safewaze.com/,"The Safewaze 018-5029 tie back SRL comes with our steel carabiner, and 3/4"" steel tie back snaphook. It has all the same lightweight and durable features offered in our standard 7' series with a new wear pad protected tie back leg allowing for anchorage connection from 9.5"" to 36"".
","7′ length 
Steel tie back snap hook 	
High strength clear plastic housing 
40"" of wear pad protected webbing 
36"" max. circumference tie back connection 
Steel tie back snap hooks with 5,000 lb. gate 
.77 in (19.5 mm) Ultrahigh molecular weight webbing 
10’ non tie back when used in overhead applications 
Compliance: OSHA 1929-502 
User Capacity: ANSI 130-310 lbs. and OSHA 420 lbs. (max) 
Steel carabiner included 
Available in single and dual leg configuration with a variety of attachment options","Materials : High-strength clear plastic housing,
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing,
Steel Tie Back snap hook, Steel carabiner
Weight : 3.1 lbs.
Weight Capacity/Max Working Load : ANSI 130-310 lbs (58.97-140.61 kg)
OSHA up to 420 lbs (190.51 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength
3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI A10.32
",
11,,018-5030,"7' Web 40"" Tie Back Retractable with Steel Triple Lock Carabiner",,https://safewaze.com/,"The Safewaze 018-5030 tie back SRL comes with our triple lock steel carabiner, and 3/4"" steel tie back snaphook. It has all the same lightweight and durable features offered in our standard 7' series with a new wear pad protected tie back leg allowing for anchorage connection from 9.5"" to 36"".
","7′ length 
Steel tie back snap hook 
High strength clear plastic housing 
40"" of wear pad protected webbing 
36"" max. circumference tie back connection 
Steel tie back snap hooks with 5,000 lb. gate 
.77 in (19.5 mm) Ultrahigh molecular weight webbing 
10’ non tie back when used in overhead applications 
Compliance: OSHA 1929-502 
User Capacity: ANSI 130-310 lbs. and OSHA 420 lbs. (max) 
Triple lock steel carabiner included 
Available in single and dual leg configuration with a variety of attachment options","Materials : High-strength clear plastic housing,
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing,
Steel Tie Back snap hook, Steel carabiner
Weight : 2.9 lbs.
Weight Capacity/Max Working Load : ANSI 130-310 lbs (58.97-140.61 kg)
OSHA up to 420 lbs (190.51 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength
3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI A10.32
",
12,,018-5031,"7' Web 40"" Tie Back Retractable with Aluminum Carabiner",,https://safewaze.com/,"The Safewaze 018-5031 tie back SRL comes with our aluminum carabiner, and 3/4"" steel tie back snaphook. It has all the same lightweight and durable features offered in our standard 7' series with a new wear pad protected tie back leg allowing for anchorage connection from 9.5"" to 36"".
","7′ length 
Steel tie back snap hook 
High strength clear plastic housing 
40"" of wear pad protected webbing 
36"" max. circumference tie back connection 
Steel tie back snap hooks with 5,000 lb. gate 
.77 in (19.5 mm) Ultrahigh molecular weight webbing 
10’ non tie back when used in overhead applications 
Compliance: OSHA 1929-502 
User Capacity: ANSI 130-310 lbs. and OSHA 420 lbs. (max) 
Aluminum carabiner included 
Available in single and dual leg configuration with a variety of attachment options","Materials : High-strength clear plastic housing,
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing,
Steel Tie Back snap hook, Aluminum carabiner
Weight : 2.8 lbs.
Weight Capacity/Max Working Load : ANSI 130-310 lbs (58.97-140.61 kg)
OSHA up to 420 lbs (190.51 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength
3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI A10.32
",
13,,018-5032,"7' Web 40"" Dual Leg Tie Back Retractable with FS-EX313 Bracket",,https://safewaze.com/,"The Safewaze 018-5032 tie back SRL comes with our FS-EX313 dual bracket, and 3/4"" steel tie back snaphook. It has all the same lightweight and durable features offered in our standard 7' series with new wear pad protected tie back legs allowing for anchorage connection from 9.5"" to 36"".
"," 7′ length 
Steel tie back snap hooks 	
High strength clear plastic housing 
40"" of wear pad protected webbing 
36"" max. circumference tie back connection 
Steel tie back snap hooks with 5,000 lb. gate 
.77 in (19.5 mm) Ultrahigh molecular weight webbing 
10’ non tie back when used in overhead applications 
Compliance: OSHA 1929-502 
User Capacity: ANSI 130-310 lbs. and OSHA 420 lbs. (max) 
FS-EX313 dual bracket included 
Available in single and dual leg configuration with a variety of attachment options","Materials : High-strength clear plastic housing,
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing,
Steel Tie Back snap hooks
Weight : 5.4 lbs.
Weight Capacity/Max Working Load : ANSI 130-310 lbs (58.97-140.61 kg)
OSHA up to 420 lbs (190.51 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength
3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI A10.32
",
14,,018-5033,"7' Web 40"" Dual Leg Tie Back Retractable with EX313 Bracket and Steel Carabiner",,https://safewaze.com/,"The Safewaze 018-5033 tie back SRL comes with our FS-EX313 dual bracket, steel carabiner, and 3/4"" steel tie back snaphook. It has all the same lightweight and durable features offered in our standard 7' series with new wear pad protected tie back legs allowing for anchorage connection from 9.5"" to 36"".
"," 7′ length 
Steel tie back snap hooks 	
High strength clear plastic housing 
40"" of wear pad protected webbing 
36"" max. circumference tie back connection 
Steel tie back snap hooks with 5,000 lb. gate 
.77 in (19.5 mm) Ultrahigh molecular weight webbing 
10’ non tie back when used in overhead applications 
Compliance: OSHA 1929-502 
User Capacity: ANSI 130-310 lbs. and OSHA 420 lbs. (max) 
FS-EX313 dual bracket included 
Steel carabiner included 	
Available in single and dual leg configuration with a variety of attachment options","Materials : High-strength clear plastic housings
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing
Steel Tie Back snap hooks
Weight : 5.95 lbs.
Weight Capacity/Max Working Load : ANSI 130-310 lbs (58.97-140.61 kg)
OSHA up to 420 lbs (190.51 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength
3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI A10.32
",
15,,018-5034,"7′ Web 40"" Dual Leg Tie Back Retractable w/ EX313 Bracket & Triple Lock Steel Carabiner",,https://safewaze.com/,"The Safewaze 018-5034 tie back SRL comes with our FS-EX313 dual bracket, triple lock steel carabiner, and 3/4"" steel tie back snaphook. It has all the same lightweight and durable features offered in our standard 7' series with new wear pad protected tie back legs allowing for anchorage connection from 9.5"" to 36"".
"," 
7′ length 
Steel tie back snap hooks 	High strength clear plastic housing 
40"" of wear pad protected webbing 
36"" max. circumference tie back connection 
Steel tie back snap hooks with 5,000 lb. gate 
.77 in (19.5 mm) Ultrahigh molecular weight webbing 
10’ non tie back when used in overhead applications 
Compliance: OSHA 1929-502 
User Capacity: ANSI 130-310 lbs. and OSHA 420 lbs. (max) 
FS-EX313 dual bracket included 
Triple lock steel carabiner included 
Available in single and dual leg configuration with a variety of attachment options","Materials : High-strength clear plastic housing,
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing,
Steel Tie Back snap hooks
Weight : 5.9 lbs.
Weight Capacity/Max Working Load
: ANSI 130-310 lbs (58.97-140.61 kg)
OSHA up to 420 lbs (190.51 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength
3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI A10.32
",
16,,018-5035,"7′ Web 40"" Dual Leg Tie Back Retractable with EX313 Bracket & Aluminum Carabiner",,https://safewaze.com/,"The Safewaze 018-5035 tie back SRL comes with our FS-EX313 dual bracket, aluminum carabiner, and 3/4"" steel tie back snaphook. It comes with all the same lightweight and durable features offered in our standard 7' series with new wear pad protected Tie Back legs allowing for anchorage connection from 9.5"" to 36"".
","7′ length 	
Steel tie back snap hooks 	
High strength clear plastic housing 	
40"" of wear pad protected webbing 	
36"" max. circumference tie back connection 	
Steel tie back snap hooks with 5,000 lb. gate 	
.77 in (19.5 mm) Ultrahigh molecular weight webbing 	
10’ non tie back when used in overhead applications 
Compliance: OSHA 1929-502 
User Capacity: ANSI 130-310 lbs. and OSHA 420 lbs. (max) 
FS-EX313 dual bracket included 
Aluminum carabiner included 
Available in single and dual leg configuration with a variety of attachment options","Materials : High-strength clear plastic housing,
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing,
Steel Tie Back snap hooks
Weight : 5.73 lbs.
Weight Capacity/Max Working Load : ANSI 130-310 lbs (58.97-140.61 kg)
OSHA up to 420 lbs (190.51 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength
3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI A10.32
",
17,,018-5036,"7' Web 40"" Dual Leg Tie Back Retractable with 9013 BWB",,https://safewaze.com/,"The Safewaze 018-5036 tie back SRL comes with our 9013 behind the web bracket, and 3/4"" Steel Tie Back Snaphook. It has all the same lightweight and durable features offered in our standard 7' series with new wear pad protected tie back legs allowing for anchorage connection from 9.5"" to 36"".
"," 
7′ length 
Steel tie back snap hook 
High strength clear plastic housing 
40"" of wear pad protected webbing 
36"" max. circumference tie back connection 
Steel tie back snap hooks with 5,000 lb. gate 
.77 in (19.5 mm) Ultrahigh molecular weight webbing 
10’ non tie back when used in overhead applications 
Compliance: OSHA 1929-502 
User Capacity: ANSI 130-310 lbs. and OSHA 420 lbs. (max) 
9013 behind the web bracket included 
Available in single and dual leg configuration with a variety of attachment options","Materials : High-strength clear plastic housing,
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing,
Steel Tie Back snap hooks
Weight : 5.95 lbs.
Weight Capacity/Max Working Load : ANSI 130-310 lbs (58.97-140.61 kg)
OSHA up to 420 lbs (190.51 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength
3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI A10.32
",
18,,018-5037,"7' Web 20"" Dual Leg Tie Back Retractable with 9013 BWB",,https://safewaze.com/,"The Safewaze 018-5037 20"" tie back SRL comes with our 9013 behind the web bracket, and 3/4"" Steel Tie Back Snaphook. It has all the same lightweight and durable features offered in our standard 7' series. Our 20"" wear pad offering is designed for working environments where longer tie back webbing could possibly create a hazard in relation to moving equipment, chemical contact, or other potential hazards.
"," 
7′ length 
Steel tie-back snap hooks 	
High strength clear plastic housing 
20"" of wear pad protected webbing 
17"" max. circumference tie-back connection 
Steel tie back snap hooks with 5,000 lb. gate 
.77 in (19.5 mm) Ultrahigh molecular weight webbing 
8.5’ non tie back when used in overhead applications 
Class A up to 24 in (60.96 cm) if used above Dorsal D-ring 
Class B up to 54 in (137.16 cm) if used up to a maximum of 2 ftbelow Dorsal D-ring 	User Capacity: ANSI 130-310 lbs. and OSHA 420 lbs. (max) 
9013 behind the web bracket included 
Available in Dual and Single leg configuration with a variety of attachment options","Materials : High-strength clear plastic housing,
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing,
Steel Tie Back snap hooks
Weight : 5.65 lbs.
Weight Capcity/Max Working Load : ANSI 130-310 lbs (58.97-140.61 kg)
OSHA up to 420 lbs (190.51 kg)
Maximum Arrest Distance : Class A up to 24 in (60.96 cm) if used above Dorsal D-ring
Class B up to 54 in (137.16 cm) if used up to a maximum of 2 ft
below Dorsal D-ring
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength
3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI Z359.14 - ANSI A10.32
",
19,,018-6000,Rescue Assist Kit,,https://safewaze.com/,"Our rescue assist kit provides two ways to quickly, and easily deploy rescue efforts to a fallen worker. Utilize the rescue sling to retrieve a conscious worker or the cable clamp for someone who may be unconscious. Ideal for the Construction, Roofing, General Industry, and MORE!
","Rescue Assist Ratchet Assembly  - Includes 2 carabiners (Web tensioner rated to 3,000 lbs.) 
10’ Kernmantle rope assembly rated to 5,000 lbs. 
Includes 1 carabiners Edge Protector 
Cable clamp rated to 1,000 lbs. 
Rescue sling assembly 
Durable, water repellent bag&nbsp;","Maximum Length : 20.75 ft. (6.32 m)
Materials : Rope - Kernmantle
Rescue Sling - Polyester web and pads, steel hardware
Edge Protector - Plastic
Cable Clamp - Steel
Ratchet Assembly - Polyester web, fiberglass handle, steel hardware
Bag - Canvas
Carabiners (3) - Steel Alloy / Heat Treated
Weight : 18 lbs (8.16 kg)
Weight Capacity : 310 lbs (140.61 kg)
",
20,,018-7003,25' Rope Lifeline w/ Snap Hook & Rope Grab,,https://safewaze.com/,"The 018-7003 is our 25' long economy 5/8 rope lifeline with a double-action snap hook and rope grab attached.   This lifeline is also available in 50' length (018-7004).
","
 	Copolymer rope
 	25' in length
 	5/8 diameter
 	Includes:

 	Steel snap hook
 	Non-removable steel rope grab


 	Also available in 50' length, item# 018-7004
","Materials : Copolymer Rope,
Steel snap hook,
Steel rope grab
Weight : 4.20 lbs (1.91 kg)
Length : 25 ft (7.62 m)
Rope Tensile Strength : 7,600 lbs (3447.30kg)
Safety Factor : 8:1
Applicable Standards : Meets OSHA 1926.502 - ANSI Z359.1 - ANSI A10.32
",
21,,018-7005,"Rope Lifeline w/ Snap Hook, Rope Grab, & 3’ Shock Absorbing Lanyard",,https://safewaze.com/,"The 018-7005 is our 50' long economy 5/8"" rope lifeline with a double-action snap hook, steel rope grab, and 3' shock absorbing lanyard attached.
"," 
Copolymer rope 
50' in length 
5/8"" diameter 
Includes: Steel snap hook 	
Non-removable steel rope grab 
3' Shock absorbing lanyard","Materials : Copolymer rope,
1 in (25.4 mm) Polyester webbing,
Polyester Stitching,
Shock Absorber,
Steel snap hooks,
Steel rope grab
Weight : 8.2 lbs (3.72 kg)
Diameter : 0.63 in (16 mm)
Length : 50 ft (15.24 m)
Rope Tensile Strength : 7,600 lbs (3447.30kg)
Safety Factor : 8:1
Applicable Standards : Meets OSHA 1926.502 - ANSI Z359.1 - ANSI A10.32
",
22,,018-9000,"18"" Rope Protector",,https://safewaze.com/,"Our 18"" rope protector is a lightweight and simple way to protect your lifelines from edges or abrasive surfaces.  The protector is ideal for vertical lifeline, rescue; descent, and positioning usage scenarios and helps to maintain the integrity of your rope lifeline.
"," 
18"" Length 
Built with highly durable tarpaulin material 
Hook-and-Loop closure 
Strong web loop lets you anchor the Edge Protector to keep it in place 
Easily installed and positioned to provide long lasting rope protection","Length : 18 in (.46 m)
Materials : Polyester web loop; 
Exterior vinyl cover;
Hook and Loop fastener strip
",
23,,018-9001,"36"" Rope Protector",,https://safewaze.com/,"Our 36"" rope protector is a lightweight and simple way to protect your lifeline from edges or abrasive surfaces.  This protector is ideal for vertical lifeline, rescue; descent, and positioning usage scenarios and helps to maintain the integrity of your rope lifeline.
"," 
Built with highly durable tarpaulin material 
36"" Length 
Hook-and-Loop closure 
Strong web loop lets you anchor the Edge Protector to keep it in place 
Easily installed and positioned to provide long lasting rope protection","Length : 36 in (.91 m)
Materials : Polyester web loop;
Exterior vinyl cover;
Hook and Loop fastener strip
",
24,,019-11000,7’ Adjustable Tripod with Storage Bag,,https://safewaze.com/,"The Safewaze 019-11000 serves as the support element for entry/egress into confined spaces, and also the rescue/evacuation of workers if necessary. It can also provide an anchorage for fall protection, work positioning, and personnel riding systems.
"," 
7' Tripod 
Storage bag 
Universal mounting bracket 
310 lbs. weight capacity 
Meets:- ANSI Z359.14-2007- ANSI Z117.1-2009- ANSI Z117.4-2013- ANSI A10.32-2012- OSHA 1926.502- OSHA 1910.140- OSHA 1926.21","Materials : Zinc Plated Steel, Aluminum, Stainless Steel
Weight : 30 lbs (13.61 kg)
Weight Capacity/Max Working Load : 310 lbs (140.61 kg)
Applicable Standards : OSHA 1926.502 - OSHA 1910.140 - OSHA 1926.21
ANSI Z359.1-2007 - ANSI Z117.1-2009 - ANSI Z117.4-2013
ANSI A10.32-2012
",
25,,019-11001,7’ Adjustable Tripod Kit with 65’ Material Winch and Storage Bag,,https://safewaze.com/,"The Safewaze 019-11001 Adjustable tripod kit serves as the support element for entry/egress into confined spaces, and also the rescue/evacuation of workers if necessary. It can also provide an anchorage for fall protection, work positioning, and personnel riding systems. Material winch allows for the raising and lowering of materials to workers within the confined space area.
","7' Adjustable tripod 
65' Material winch 
Storage bag 
310 lbs. weight capacity 
Meets:- ANSI Z359.14-2007- ANSI Z117.1-2009- ANSI A10.32-2012- OSHA 1926.502- OSHA 1910.140- OSHA 1926.21","Materials : 7’ Adjustable Tripod, Storage Bag,
65’ Material Winch
Weight : 62 lbs (28.12 kg)
Weight Capacity/Max Working load : 310 lbs (140.61 kg)
Applicable Standards
: Meets OSHA 1926.502 - OSHA 1910.140 - OSHA 1926.21
ANSI Z359.1-2007 - ANSI Z117.1-2009 - ANSI A10.32-2012
",
